parking_id,recorded_at,occupied_slots,total_slots
1,2026-03-20T17:00:00+03:00,7,10
1,2026-03-20T18:00:00+03:00,4,10
1,2026-03-20T19:00:00+03:00,0,10
1,2026-03-20T20:00:00+03:00,0,10
1,2026-03-20T21:00:00+03:00,0,10
1,2026-03-20T22:00:00+03:00,1,10
1,2026-03-21T07:00:00+03:00,1,10
1,2026-03-21T08:00:00+03:00,1,10
1,2026-03-21T09:00:00+03:00,0,10
1,2026-03-21T10:00:00+03:00,3,10
1,2026-03-21T11:00:00+03:00,4,10
1,2026-03-21T12:00:00+03:00,6,10
1,2026-03-21T13:00:00+03:00,2,10
1,2026-03-21T14:00:00+03:00,4,10
1,2026-03-21T15:00:00+03:00,0,10
1,2026-03-21T16:00:00+03:00,4,10
1,2026-03-21T17:00:00+03:00,3,10
1,2026-03-21T18:00:00+03:00,4,10
1,2026-03-21T19:00:00+03:00,1,10
1,2026-03-21T20:00:00+03:00,1,10
1,2026-03-21T21:00:00+03:00,3,10
1,2026-03-21T22:00:00+03:00,0,10
1,2026-03-22T07:00:00+03:00,2,10
1,2026-03-22T08:00:00+03:00,4,10
1,2026-03-22T09:00:00+03:00,6,10
1,2026-03-22T10:00:00+03:00,1,10
1,2026-03-22T11:00:00+03:00,4,10
1,2026-03-22T12:00:00+03:00,5,10
1,2026-03-22T13:00:00+03:00,4,10
1,2026-03-22T14:00:00+03:00,6,10
1,2026-03-22T15:00:00+03:00,1,10
1,2026-03-22T16:00:00+03:00,3,10
1,2026-03-22T17:00:00+03:00,3,10
1,2026-03-22T18:00:00+03:00,4,10
1,2026-03-22T19:00:00+03:00,3,10
1,2026-03-22T20:00:00+03:00,2,10
1,2026-03-22T21:00:00+03:00,2,10
1,2026-03-22T22:00:00+03:00,0,10
1,2026-03-23T07:00:00+03:00,0,10
1,2026-03-23T08:00:00+03:00,6,10
1,2026-03-23T09:00:00+03:00,6,10
1,2026-03-23T10:00:00+03:00,3,10
1,2026-03-23T11:00:00+03:00,8,10
1,2026-03-23T12:00:00+03:00,8,10
1,2026-03-23T13:00:00+03:00,8,10
1,2026-03-23T14:00:00+03:00,9,10
1,2026-03-23T15:00:00+03:00,3,10
1,2026-03-23T16:00:00+03:00,8,10
1,2026-03-23T17:00:00+03:00,5,10
1,2026-03-23T18:00:00+03:00,6,10
1,2026-03-23T19:00:00+03:00,4,10
1,2026-03-23T20:00:00+03:00,2,10
1,2026-03-23T21:00:00+03:00,1,10
1,2026-03-23T22:00:00+03:00,1,10
1,2026-03-24T07:00:00+03:00,4,10
1,2026-03-24T08:00:00+03:00,7,10
1,2026-03-24T09:00:00+03:00,6,10
1,2026-03-24T10:00:00+03:00,7,10
1,2026-03-24T11:00:00+03:00,5,10
1,2026-03-24T12:00:00+03:00,9,10
1,2026-03-24T13:00:00+03:00,9,10
1,2026-03-24T14:00:00+03:00,9,10
1,2026-03-24T15:00:00+03:00,4,10
1,2026-03-24T16:00:00+03:00,8,10
1,2026-03-24T17:00:00+03:00,6,10
1,2026-03-24T18:00:00+03:00,8,10
1,2026-03-24T19:00:00+03:00,3,10
1,2026-03-24T20:00:00+03:00,4,10
1,2026-03-24T21:00:00+03:00,0,10
1,2026-03-24T22:00:00+03:00,4,10
1,2026-03-25T07:00:00+03:00,5,10
1,2026-03-25T08:00:00+03:00,7,10
1,2026-03-25T09:00:00+03:00,2,10
1,2026-03-25T10:00:00+03:00,8,10
1,2026-03-25T11:00:00+03:00,6,10
1,2026-03-25T12:00:00+03:00,1,10
1,2026-03-25T13:00:00+03:00,8,10
1,2026-03-25T14:00:00+03:00,8,10
1,2026-03-25T15:00:00+03:00,6,10
1,2026-03-25T16:00:00+03:00,7,10
1,2026-03-25T17:00:00+03:00,0,10
1,2026-03-25T18:00:00+03:00,3,10
1,2026-03-25T19:00:00+03:00,3,10
1,2026-03-25T20:00:00+03:00,3,10
1,2026-03-25T21:00:00+03:00,4,10
1,2026-03-25T22:00:00+03:00,2,10
1,2026-03-26T07:00:00+03:00,0,10
1,2026-03-26T08:00:00+03:00,4,10
1,2026-03-26T09:00:00+03:00,3,10
1,2026-03-26T10:00:00+03:00,4,10
1,2026-03-26T11:00:00+03:00,9,10
1,2026-03-26T12:00:00+03:00,5,10
1,2026-03-26T13:00:00+03:00,8,10
1,2026-03-26T14:00:00+03:00,9,10
1,2026-03-26T15:00:00+03:00,6,10
1,2026-03-26T16:00:00+03:00,4,10
1,2026-03-26T17:00:00+03:00,7,10
1,2026-03-26T18:00:00+03:00,5,10
1,2026-03-26T19:00:00+03:00,3,10
1,2026-03-26T20:00:00+03:00,3,10
1,2026-03-26T21:00:00+03:00,0,10
1,2026-03-26T22:00:00+03:00,3,10
1,2026-03-27T07:00:00+03:00,0,10
1,2026-03-27T08:00:00+03:00,4,10
1,2026-03-27T09:00:00+03:00,6,10
1,2026-03-27T10:00:00+03:00,7,10
1,2026-03-27T11:00:00+03:00,10,10
1,2026-03-27T12:00:00+03:00,7,10
1,2026-03-27T13:00:00+03:00,10,10
1,2026-03-27T14:00:00+03:00,4,10
1,2026-03-27T15:00:00+03:00,7,10
1,2026-03-27T16:00:00+03:00,4,10
1,2026-03-27T17:00:00+03:00,6,10
1,2026-03-27T18:00:00+03:00,7,10
1,2026-03-27T19:00:00+03:00,3,10
1,2026-03-27T20:00:00+03:00,2,10
1,2026-03-27T21:00:00+03:00,3,10
1,2026-03-27T22:00:00+03:00,1,10
1,2026-03-28T07:00:00+03:00,3,10
1,2026-03-28T08:00:00+03:00,3,10
1,2026-03-28T09:00:00+03:00,2,10
1,2026-03-28T10:00:00+03:00,4,10
1,2026-03-28T11:00:00+03:00,4,10
1,2026-03-28T12:00:00+03:00,2,10
1,2026-03-28T13:00:00+03:00,3,10
1,2026-03-28T14:00:00+03:00,4,10
1,2026-03-28T15:00:00+03:00,4,10
1,2026-03-28T16:00:00+03:00,3,10
1,2026-03-28T17:00:00+03:00,0,10
1,2026-03-28T18:00:00+03:00,5,10
1,2026-03-28T19:00:00+03:00,2,10
1,2026-03-28T20:00:00+03:00,2,10
1,2026-03-28T21:00:00+03:00,3,10
1,2026-03-28T22:00:00+03:00,2,10
1,2026-03-29T07:00:00+03:00,2,10
1,2026-03-29T08:00:00+03:00,2,10
1,2026-03-29T09:00:00+03:00,1,10
1,2026-03-29T10:00:00+03:00,0,10
1,2026-03-29T11:00:00+03:00,4,10
1,2026-03-29T12:00:00+03:00,4,10
1,2026-03-29T13:00:00+03:00,4,10
1,2026-03-29T14:00:00+03:00,4,10
1,2026-03-29T15:00:00+03:00,3,10
1,2026-03-29T16:00:00+03:00,4,10
1,2026-03-29T17:00:00+03:00,4,10
1,2026-03-29T18:00:00+03:00,2,10
1,2026-03-29T19:00:00+03:00,3,10
1,2026-03-29T20:00:00+03:00,2,10
1,2026-03-29T21:00:00+03:00,1,10
1,2026-03-29T22:00:00+03:00,4,10
1,2026-03-30T07:00:00+03:00,4,10
1,2026-03-30T08:00:00+03:00,7,10
1,2026-03-30T09:00:00+03:00,6,10
1,2026-03-30T10:00:00+03:00,6,10
1,2026-03-30T11:00:00+03:00,8,10
1,2026-03-30T12:00:00+03:00,4,10
1,2026-03-30T13:00:00+03:00,9,10
1,2026-03-30T14:00:00+03:00,5,10
1,2026-03-30T15:00:00+03:00,3,10
1,2026-03-30T16:00:00+03:00,0,10
1,2026-03-30T17:00:00+03:00,9,10
